time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
2.000000027451640e-002	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	1.372582e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000	5.011735e+000
2.000000036878690e-002	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	1.843935e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000	4.851165e+000
2.000000047124421e-002	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	2.356221e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000	4.568077e+000
2.000000054748665e-002	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	2.737433e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000	4.182005e+000
2.000000059459408e-002	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	2.972970e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000	3.684527e+000
2.000000063916391e-002	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	3.195820e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000	2.847769e+000
2.000000069098137e-002	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	3.454907e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000	1.556304e+000
2.000000071701824e-002	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	3.585091e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001	9.216685e-001
2.000000073867872e-002	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	3.693393e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001	5.504995e-001
2.000000076850043e-002	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	3.842502e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001	2.784857e-001
